,F12\WORD1.DOC
DW 1448,P+I OUTPUT
,
DW 1452,WEIGHT REF (LBS/HR)                HOPPER #3
DW 1454,WEIGHT REF (LBS/SEC)
DW 1456,WEIGHT REF INCREMENT (LBS/SEC)
DW 1458,WEIGHT WHEN AUGER STOP AT LAST TIMES
W 1460,WEIGHT REF INCREMENT
W 1461,WEIGHT MEASURE INCREMENT
DW 1462,ERROR BETWEEN REFERENCE AND MEASUREMENT
DW 1464,PROPORTIONAL OUTPUT
DW 1466,INTEGRAL OUTPUT
DW 1468,P+I OUTPUT
,
DW 1472,WEIGHT REF (LBS/HR)                HOPPER #4
DW 1474,WEIGHT REF (LBS/SEC)
DW 1476,WEIGHT REF INCREMENT (LBS/SEC)
DW 1478,WEIGHT WHEN AUGER STOP AT LAST TIMES
W 1480,WEIGHT REF INCREMENT
W 1481,WEIGHT MEASURE INCREMENT
DW 1482,ERROR BETWEEN REFERENCE AND MEASUREMENT
DW 1484,PROPORTIONAL OUTPUT
DW 1486,INTEGRAL OUTPUT
DW 1488,P+I OUTPUT
,
W 1501,PREVIOUS WEIGHT IN HOPPER #1
W 1502,PREVIOUS WEIGHT IN HOPPER #2
W 1503,PREVIOUS WEIGHT IN HOPPER #3
W 1504,PREVIOUS WEIGHT IN HOPPER #4
W 1505,PREVIOUS WEIGHT IN HOPPER #5
W 1506,CURRENT WEIGHT IN HOPPER #1
W 1507,CURRENT WEIGHT IN HOPPER #2
W 1508,CURRENT WEIGHT IN HOPPER #3
W 1509,CURRENT WEIGHT IN HOPPER #4
W 1510,CURRENT WEIGHT IN HOPPER #5
W 1511,HOPPER #1 PI OUTPUT
W 1512,HOPPER #2 PI OUTPUT
W 1513,HOPPER #3 PI OUTPUT
W 1514,HOPPER #4 PI OUTPUT
W 1515,HOPPER #5 PI OUTPUT
W 1550,PI OUTPUT LIMITATION
DW 1552,WEIGHT REF (LBS/HR)                HOPPER #5
DW 1554,WEIGHT REF (LBS/SEC)
DW 1556,WEIGHT REF INCREMENT (LBS/SEC)
DW 1558,WEIGHT WHEN AUGER STOP AT LAST TIMES
W 1560,WEIGHT REF INCREMENT
DW 1561,WEIGHT MEASURE INCREMENT
DW 1562,ERROR BETWEEN REFERENCE AND MEASUREMENT
DW 1564,PROPORTIONAL OUTPUT
DW 1566,INTEGRAL OUTPUT
DW 1568,P+I OUTPUT
,
DW 1570,"COPY FROM W1506,HOPPER #1"
DW 1572,"COPY FROM W1507,HOPPER #2"
DW 1574,"COPY FROM W1508,HOPPER #3"
DW 1580,"COPY FROM W1501,HOPPER #1"
DW 1582,"COPY FROM W1502,HOPPER #2"
DW 1584,"COPY FROM W1503,HOPPER #3"
DW 1600,TOTAL ACCUMULATIVE WEIGHT
DW 1610,HOPPER #1 ACCUMULATIVE WEIGHT
DW 1612,HOPPER #2 ACCUMULATIVE WEIGHT
DW 1614,HOPPER #3 ACCUMULATIVE WEIGHT
DW 1616,HOPPER #4 ACCUMULATIVE WEIGHT
DW 1618,HOPPER #5 ACCUMULATIVE WEIGHT
,
W 1621,ACCUMULATIVE WEIGHT FOR HOPPER #1
W 1622,ACCUMULATIVE WEIGHT FOR HOPPER #2
W 1623,ACCUMULATIVE WEIGHT FOR HOPPER #3
W 1624,ACCUMULATIVE WEIGHT FOR HOPPER #4
W 1625,ACCUMULATIVE WEIGHT FOR HOPPER #5
W 1626,TOTAL ACCUMULATIVE WEIGHT
W 1630,
DW 1698,CONSUMPTION RATE (LINE SPEED) AFTER CALCULATE
DW 1700,CONSUMPTION RATE (LINE SPEED) AFTER CALCULATE
DW 1900,20% THROUGHPUT OF HOPPER #1
DW 1902,20% THROUGHPUT OF HOPPER #2
DW 1904,20% THROUGHPUT OF HOPPER #3
DW 1906,20% THROUGHPUT OF HOPPER #4
DW 1908,20% THROUGHPUT OF HOPPER #5
DW 1910,90% THROUGHPUT OF HOPPER #1
DW 1912,90% THROUGHPUT OF HOPPER #2
DW 1914,90% THROUGHPUT OF HOPPER #3
DW 1916,90% THROUGHPUT OF HOPPER #4
DW 1918,90% THROUGHPUT OF HOPPER #5
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
