,F12\BIT.DOC
B 200,DIFFERENTIAL HIGH PRESSURE ALARM SAT EXT2 DPSH STEP 0
B 201,DIFFERENTIAL HIGH PRESSURE ALARM SAT EXT2 DPSH STEP 1
B 202,DIFFERENTIAL HIGH PRESSURE ALARM SAT EXT2 DPSH STEP 2
B 203,DIFFERENTIAL HIGH PRESSURE ALARM SAT EXT2 DPSH STEP 0
B 204,DIFFERENTIAL HIGH PRESSURE ALARM SAT EXT2 DPSH STEP 1
B 205,DIFFERENTIAL HIGH PRESSURE ALARM SAT EXT2 DPSH STEP 2
B 206,LOW FLOW ALARM SAT EXT2
B 207,LOW FLOW ALARM SAT EXT2
B 208,LOW FLOW ALARM SAT EXT2
B 209,LOW PRESSURE ALARM SAT EXT2
B 210,LOW PRESSURE ALARM SAT EXT2
B 211,LOW PRESSURE ALARM SAT EXT2
B 212,SAT EXT2 HYDRAULIC GROUP
B 213,SAT EXT2 HYDRAULIC GROUP
B 214,SAT EXT2 HEATER E110
B 215,SAT EXT2 HEATER E110
B 216,SAT EXT2 HEATER E110
B 217,SAT EXT2 HEATER E111
B 218,SAT EXT2 HEATER E111
B 219,SAT EXT2 HEATER E111
B 220,SAT EXT2 HEATER E112
B 221,SAT EXT2 HEATER E112
B 222,SAT EXT2 HEATER E112
B 223,SAT EXT2 HEATER E113
B 224,SAT EXT2 HEATER E113
B 225,SAT EXT2 HEATER E113
B 226,SAT EXT2 HEATER E114
B 227,SAT EXT2 HEATER E114
B 228,SAT EXT2 HEATER E114
B 229,SAT EXT2 HEATER E115
B 230,SAT EXT2 HEATER E115
B 231,SAT EXT2 HEATER E115
B 232,SAT EXT2 HEATER E116
B 233,SAT EXT2 HEATER E116
B 234,SAT EXT2 HEATER E116
B 235,SAT EXT2 ADAPTER HEATER E117
B 236,SAT EXT2 ADAPTER HEATER E117
B 237,SAT EXT2 ADAPTER HEATER E117
B 238,SAT EXT2 FILTER HEATER E118
B 239,SAT EXT2 FILTER HEATER E118
B 240,SAT EXT2 FILTER HEATER E118
B 241,SAT EXT2 BLOWER ZONE 1
B 242,SAT EXT2 BLOWER ZONE 1
B 243,SAT EXT2 BLOWER ZONE 2
B 244,SAT EXT2 BLOWER ZONE 2
B 245,SAT EXT2 BLOWER ZONE 3
B 246,SAT EXT2 BLOWER ZONE 3
B 247,SAT EXT2 BLOWER ZONE 4
B 248,SAT EXT2 BLOWER ZONE 4
B 249,SAT EXT2 BLOWER ZONE 5
B 250,SAT EXT2 BLOWER ZONE 5
B 251,SAT EXT2 BLOWER ZONE 6
B 252,SAT EXT2 BLOWER ZONE 6
B 253,SAT EXT2 BLOWER ZONE 7
B 254,SAT EXT2 BLOWER ZONE 7
B 255,LOW LEVEL ALARM SAT EXT2
B 256,LOW LEVEL ALARM SAT EXT2
B 257,INTERLOCK SAT EXT2 NOT OK
B 258,INTERLOCK SAT EXT2 NOT OK
B 259,SAT EXT2 INTERLOCK OK
B 260,LSL 1124.03 RESET
B 261,LSL 1124.03 SET
B 262,LSL 1124.03 LAST FOR (T42) TIME
B 263,
B 264,
B 265,
B 266,
B 267,
B 268,
B 269,
B 270,
B 271,
B 272,
B 273,
B 274,
B 275,
B 276,
B 277,
B 278,
B 279,
B 280,
B 281,
B 282,
B 283,
B 284,
B 285,
B 286,
B 287,
B 288,
B 289,
B 290,
B 291,
B 292,
B 293,
B 294,
B 295,
B 296,
B 297,
B 298,
B 299,
B 300,DIFFERENTIAL HIGH PRESSURE ALARM STEP 0
B 301,DIFFERENTIAL HIGH PRESSURE ALARM STEP 1
B 302,DIFFERENTIAL HIGH PRESSURE ALARM STEP 2
B 303,DIFFERENTIAL HIGH PRESSURE ALARM STEP 0
B 304,DIFFERENTIAL HIGH PRESSURE ALARM STEP 1
B 305,DIFFERENTIAL HIGH PRESSURE ALARM STEP 2
B 306,LOW FLOW ALARM
B 307,LOW FLOW ALARM
B 308,LOW FLOW ALARM    
B 309,LOW PRESSURE ALARM
B 310,LOW PRESSURE ALARM
B 311,LOW PRESSURE ALARM
B 312,VALVE SV 1200.00
B 313,VALVE SV 1200.00
B 314,VALVE SV 1200.00
B 315,HYDRAULIC GROUP
B 316,HYDRAULIC GROUP
B 317,RELEASE DEFECT FSL 1200.25
B 318,MAIN EXT1 COOLING PUMP RUNNING             M1200.05
B 319,MAIN EXT1 COOLING PUMP RUNNING FOR (T14)
B 320,LOW LEVEL ALARM LSL FROM HOPPER
B 321,LOW LEVEL ALARM LSL FROM HOPPER
B 322,LOW LEVEL ALARM LSL FROM HOPPER
B 323,MAIN EXT1 HEATER E120 STEP 0
B 324,MAIN EXT1 HEATER E120 STEP 1
B 325,MAIN EXT1 HEATER E120 STEP 2
B 326,MAIN EXT1 HEATER E121
B 327,MAIN EXT1 HEATER E121
B 328,MAIN EXT1 HEATER E121
B 329,MAIN EXT1 HEATER E122
B 330,MAIN EXT1 HEATER E122
B 331,MAIN EXT1 HEATER E122
B 332,MAIN EXT1 HEATER E123
B 333,MAIN EXT1 HEATER E123
B 334,MAIN EXT1 HEATER E123
B 335,MAIN EXT1 HEATER E124
B 336,MAIN EXT1 HEATER E124
B 337,MAIN EXT1 HEATER E124
B 338,MAIN EXT1 HEATER E125
B 339,MAIN EXT1 HEATER E125
B 340,MAIN EXT1 HEATER E125
B 341,MAIN EXT1 HEATER E126
B 342,MAIN EXT1 HEATER E126
B 343,MAIN EXT1 HEATER E126
B 344,MAIN EXT1 HEATER E127
B 345,MAIN EXT1 HEATER E127
B 346,MAIN EXT1 HEATER E127
B 347,MAIN EXT1 MELT LINE E130
B 348,MAIN EXT1 MELT LINE E130
B 349,MAIN EXT1 MELT LINE E130
B 350,MAIN EXT1 HEATER E131
B 351,MAIN EXT1 HEATER E131
B 352,MAIN EXT1 HEATER E131
B 353,MAIN EXT1 HEATER E132
B 354,MAIN EXT1 HEATER E132
B 355,MAIN EXT1 HEATER E132
B 356,MAIN EXT1 HEATER E133
B 357,MAIN EXT1 HEATER E133
B 358,MAIN EXT1 HEATER E133
B 359,MAIN EXT1 PUMP E168
B 360,MAIN EXT1 PUMP E168
B 361,MAIN EXT INTERLOCK NOT OK
B 362,MAIN EXT INTERLOCK OK
B 363,MAIN EXT1 LOW LEVEL ALARM FROM HOPPER
B 364,MAIN EXT1 LSH LEVEL ALARM FROM HOPPER
B 365,LSL MELT LINE
B 366,LSL MELT LINE
B 367,LSL MELT LINE
B 368,PRI LOST INTERLOACK WHILE RUNNING 
B 369,SEC LOST INTERLOACK WHILE RUNNING
B 370,
B 371,
B 372,
B 373,
B 374,
B 375,
B 376,
B 377,
B 378,
B 379,
B 380,
B 381,
B 382,
B 383,
B 384,
B 385,
B 386,
B 387,
B 388,
B 389,
B 390,
B 391,
B 392,
B 393,
B 394,
B 395,
B 396,
B 397,
B 398,
B 399,
B 400,LOW LEVEL ALARM FSL STEP 0
B 401,LOW LEVEL ALARM FSL STEP 1
B 402,LOW LEVEL ALARM FSL STEP 2
B 403,LOW PRESSURE ALARM PSL
B 404,LOW PRESSURE ALARM PSL
B 405,LOW PRESSURE ALARM PSL
B 406,DIFFERENTIAL HIGH PRESSURE ALARM DPSH
B 407,DIFFERENTIAL HIGH PRESSURE ALARM DPSH
B 408,DIFFERENTIAL HIGH PRESSURE ALARM DPSH
B 409,DIFFERENTIAL HIGH PRESSURE ALARM DPSH
B 410,DIFFERENTIAL HIGH PRESSURE ALARM DPSH
B 411,DIFFERENTIAL HIGH PRESSURE ALARM DPSH
B 412,LOW FLOW ALARM FSL
B 413,LOW FLOW ALARM FSL
B 414,LOW FLOW ALARM FSL
B 415,MAIN EXT2 HEATER E140
B 416,MAIN EXT2 HEATER E140
B 417,MAIN EXT2 HEATER E140
B 418,MAIN EXT2 HEATER E141
B 419,MAIN EXT2 HEATER E141
B 420,MAIN EXT2 HEATER E141
B 421,MAIN EXT2 HEATER E142
B 422,MAIN EXT2 HEATER E142
B 423,MAIN EXT2 HEATER E142
B 424,MAIN EXT2 HEATER E143
B 425,MAIN EXT2 HEATER E143
B 426,MAIN EXT2 HEATER E143
B 427,MAIN EXT2 HEATER E144
B 428,MAIN EXT2 HEATER E144
B 429,MAIN EXT2 HEATER E144
B 430,MAIN EXT2 HEATER E145
B 431,MAIN EXT2 HEATER E145
B 432,MAIN EXT2 HEATER E145
B 433,MAIN EXT2 HEATER E146
B 434,MAIN EXT2 HEATER E146
B 435,MAIN EXT2 HEATER E146
B 436,MAIN EXT2 HEATER E147
B 437,MAIN EXT2 HEATER E147
B 438,MAIN EXT2 HEATER E147
B 439,MAIN EXT2 HEATER E149
B 440,MAIN EXT2 HEATER E149
B 441,MAIN EXT2 HEATER E149
B 442,MAIN EXT2 HEATER E150
B 443,MAIN EXT2 HEATER E150
B 444,MAIN EXT2 HEATER E150
B 445,MAIN EXT2 HEATER E151
B 446,MAIN EXT2 HEATER E151
B 447,MAIN EXT2 HEATER E151
B 448,MAIN EXT2 HEATER E153
B 449,MAIN EXT2 HEATER E153
B 450,MAIN EXT2 HEATER E153
B 451,MAIN EXT2 HEATER E154
B 452,MAIN EXT2 HEATER E154
B 453,MAIN EXT2 HEATER E154
B 454,MAIN EXT2 HEATER E155
B 455,MAIN EXT2 HEATER E155
B 456,MAIN EXT2 HEATER E155
B 457,MAIN EXT2 HEATER E156
B 458,MAIN EXT2 HEATER E156
B 459,MAIN EXT2 HEATER E156
B 460,MAIN EXT2 HEATER E157
B 461,MAIN EXT2 HEATER E157
B 462,MAIN EXT2 HEATER E157
B 463,MAIN EXT2 HEATER E158
B 464,MAIN EXT2 HEATER E158
B 465,MAIN EXT2 HEATER E158
B 466,MAIN EXT2 HEATER E159
B 467,MAIN EXT2 HEATER E159
B 468,MAIN EXT2 HEATER E159
B 469,MAIN EXT2 INTERLOCK NOT OK
B 470,MAIN EXT2 INTERLOCK OK
B 471,HYDRAULIC STEP 0
B 472,HYDRAULIC STEP 1
B 473,
B 474,
B 475,FAULT OF HYDRAULIC PUMP FOR MAIN EXT2           M1231.01
B 476,M1231.01 -> START
B 477,
B 478,
B 479,
B 480,"COPY FROM B780, START ""SAT EXT1"" EQUIPMENTS"
B 481,"COPY FROM B781, START ""EXT1 FILTER"" EQUIPMENTS"
B 482,"COPY FROM B786, START ""MAIN EXT1"" EQUIPMENTS"
B 483,"COPY FROM B788, START ""EXT1 MELT LINE"" EQUIPMENTS"
B 484,"COPY FROM B789, START ""MAIN EXT2"" EQUIPMENTS"
B 485,"COPY FROM B791, START ""MAIN EXT2 MELT LINE"" EQUIPMENTS"
B 486,"COPY FROM B792, START ""DIE"" EQUIPMENTS"
B 487,
B 488,
B 489,
B 490,STOP MAIN EXT SV 1200.00
B 491,
B 492,MAIN EXT1 -> NOT RUNNING
B 493,ALL EXT NOT RUNNING
B 494,
B 495,
B 496,
B 497,
B 498,
B 499,
B 500,TEMPERATURE OK SAT EXT1 ZONE 1
B 501,TEMPERATURE OK SAT EXT1 ZONE 2
B 502,TEMPERATURE OK SAT EXT1 ZONE 3
B 503,TEMPERATURE OK SAT EXT1 ZONE 4
B 504,TEMPERATURE OK SAT EXT1 ZONE 5
B 505,TEMPERATURE OK SAT EXT1 ZONE 6
B 506,TEMPERATURE OK SAT EXT1 ZONE 7
B 507,TEMPERATURE OK SAT EXT1 ADAPTER
B 508,TEMPERATURE OK SAT EXT1 FILTER
B 509,TEMPERATURE OK SAT EXT1 MELT LINE
B 510,TEMPERATURE OK SAT EXT2 ZONE 1
B 511,TEMPERATURE OK SAT EXT2 ZONE 2
B 512,TEMPERATURE OK SAT EXT2 ZONE 3
B 513,TEMPERATURE OK SAT EXT2 ZONE 4
B 514,TEMPERATURE OK SAT EXT2 ZONE 5
B 515,TEMPERATURE OK SAT EXT2 ZONE 6
B 516,TEMPERATURE OK SAT EXT2 ZONE 7
B 517,TEMPERATURE OK SAT EXT2 ADAPTER
B 518,TEMPERATURE OK SAT EXT2 FILTER
B 519,TEMPERATURE OK SAT EXT2 MELT LINE
B 520,TEMPERATURE OK MAIN EXT1 ZONE 1
B 521,TEMPERATURE OK MAIN EXT1 ZONE 2
B 522,TEMPERATURE OK MAIN EXT1 ZONE 3
B 523,TEMPERATURE OK MAIN EXT1 ZONE 4
B 524,TEMPERATURE OK MAIN EXT1 ADAPTER
B 525,TEMPERATURE OK MAIN EXT1 ADAPTER
B 526,TEMPERATURE OK MAIN EXT1 FILTER
B 527,TEMPERATURE OK MAIN EXT1 ADAPTER
B 528,
B 529,
B 530,TEMP MAIN EXT1 MELT LINE R330
B 531,TEMP MAIN EXT1 MELT LINE R331
B 532,TEMP MAIN EXT1 MELT LINE R332
B 533,TEMP MAIN EXT1 MELT LINE R333
B 534,
B 535,
B 536,
B 537,
B 538,
B 539,
B 540,TEMPERATURE OK MAIN EXT2 ZONE 1
B 541,TEMPERATURE OK MAIN EXT2 ZONE 2
B 542,TEMPERATURE OK MAIN EXT2 ZONE 3
B 543,TEMPERATURE OK MAIN EXT2 ZONE 4
B 544,TEMPERATURE OK MAIN EXT2 ADAPTER
B 545,TEMPERATURE OK MAIN EXT2 ADAPTER
B 546,TEMPERATURE OK MAIN EXT2 FILTER
B 547,TEMPERATURE OK MAIN EXT2 ADAPTER
B 548,TEMPERATURE OK MAIN EXT2 MELT LINE
B 549,TEMPERATURE OK MAIN EXT2 MELT LINE
B 550,TEMP OK MAIN EXT2 STATIC MIXER
B 551,TEMP OK MAIN EXT2 STATIC MIXER CONNECTION
B 552,
B 553,
B 554,TEMP OK MAIN EXT2              R352
B 555,TEMP OK DIE ZONE 1
B 556,TEMP OK DIE ZONE 2
B 557,TEMP OK DIE ZONE 3
B 558,TEMP OK DIE ZONE 4
B 559,TEMP OK DIE ZONE 5
B 560,TEMP OK DIE ZONE 6
B 561,TEMP OK DIE ZONE 7
B 562,
B 563,
B 564,
B 565,
B 566,
B 567,
B 568,
B 569,
B 570,SAT1 TEMP OK
B 571,SAT2 TEMP OK
B 572,MAIN EXT1 TEMP OK
B 573,MAIN EXT2 TEMP OK
B 574,DIE TEMP OK
B 575,
B 576,
B 577,
B 578,
B 579,
B 580,
B 581,
B 582,
B 583,
B 584,
B 585,
B 586,
B 587,
B 588,
B 589,
B 590,
B 591,
B 592,
B 593,
B 594,
B 595,
B 596,
B 597,
B 598,
B 599,
B 600,
B 601,
B 602,
B 603,
B 604,
B 605,
B 606,
B 607,LSH 1123.02 LEVEL SWITCH HIGH
B 608,LEVEL SWITCH HIGH LAST FOR (T72) TIME
B 609,
B 610,
B 611,
B 612,
B 613,
B 614,
B 615,"NOT LSH 1104.02, HOMO DRYING HOPPER HIGH LEVEL"
B 616,"LSH 1104.02, HOMO DRYING HOPPER HIGH LEVEL"
B 617,"LSH 1104.02, LAST FOR (T76) TIME"
B 618,
B 619,
B 620,
B 621,"NOT LSH 1104.04, RECLAIM DRYING HOPPER HIGH LEVEL"
B 622,"LSH 1104.04, RECLAIM DRYING HOPPER HIGH LEVEL"
B 623,"LSH 1104.04, LAST FOR (T77) TIME"
B 624,MIXING HOPPER FEEDING VALVE CLOSE
B 625,MIXING HOPPER FEEDING VALVE OPEN
B 626,
B 627,
B 628,
B 629,
B 630,
B 631,ADDITIVE PUMP OFF                M1107.01
B 632,ADDITIVE PUMP ON                 M1107.01
B 633,
B 634,
B 635,
B 636,
B 637,
B 638,
B 639,
B 640,
B 641,
B 642,
B 643,
B 644,
B 645,
B 646,
B 647,
B 648,
B 649,
B 650,
B 651,
B 652,
B 653,
B 654,
B 655,
B 656,
B 657,
B 658,
B 659,
B 660,
B 661,
B 662,
B 663,
B 664,
B 665,
B 666,
B 667,
B 668,
B 669,
B 670,
B 671,
B 672,
B 673,
B 674,
B 675,
B 676,
B 677,
B 678,
B 679,
B 680,
B 681,
B 682,
B 683,
B 684,
B 685,
B 686,
B 687,
B 688,
B 689,
B 690,
B 691,
B 692,
B 693,
B 694,
B 695,
B 696,
B 697,
B 698,
B 699,
B 700,ALARM H                P501
B 701,ALARM H                P503
B 702,ALARM H                P505
B 703,ALARM H                P507
B 704,ALARM H                P511
B 705,ALARM H                P512
B 706,ALARM H                P514
B 707,ALARM H                P516
B 708,
B 709,
B 710,
B 711,
B 712,
B 713,
B 714,
B 715,
B 716,
B 717,
B 718,
B 719,
B 720,
B 721,
B 722,
B 723,
B 724,
B 725,
B 726,
B 727,
B 728,
B 729,
B 730,
B 731,
B 732,
B 733,
B 734,
B 735,
B 736,
B 737,
B 738,
B 739,
B 740,
B 741,
B 742,
B 743,
B 744,
B 745,
B 746,
B 747,
B 748,
B 749,
B 750,
B 751,
B 752,
B 753,
B 754,
B 755,
B 756,
B 757,
B 758,
B 759,
B 760,BIT END OF STARTING SAT EXT1 EQUIP
B 761,BIT END OF STARTING SAT EXT1 FILTER
B 762,BIT END OF STARTING SAT EXT1 MELT LINE
B 763,BIT END OF STARTING SAT EXT2 EQUIP
B 764,BIT END OF STARTING SAT EXT2 FILTER
B 765,BIT END OF STARTING SAT EXT2 MELT LINE
B 766,BIT END OF STARTING MAIN EXT1 EQUIP
B 767,BIT END OF STARTING MAIN EXT1 FILTER
B 768,BIT END OF STARTING MAIN EXT1 MELT LINE
B 769,BIT END OF STARTING MAIN EXT2 EQUIP
B 770,BIT END OF STARTING MAIN EXT2 FILTER
B 771,BIT END OF STARTING MAIN EXT2 MELT LINE
B 772,BIT END OF STARTING DIE EQUIP
B 773,
B 774,
B 775,
B 776,
B 777,
B 778,
B 779,
B 780,BIT START SAT EXT1 EQUIP
B 781,BIT START SAT EXT1 FILTER
B 782,BIT START SAT EXT1 MELT LINE
B 783,BIT START SAT EXT2 EQUIP
B 784,BIT START SAT EXT2 FILTER
B 785,BIT START SAT EXT2 MELT LINE
B 786,BIT START MAIN EXT1 EQUIP
B 787,BIT START MAIN EXT1 FILTER
B 788,BIT START MAIN EXT1 MELT LINE
B 789,BIT START MAIN EXT2 EQUIP
B 790,BIT START MAIN EXT2 FILTER
B 791,BIT START MAIN EXT2 MELT LINE 
B 792,BIT START DIE EQUIP
B 793,BIT START FOR MAIN MELT LINE
B 794,
B 795,
B 796,
B 797,
B 798,
B 799,
B 800,BIT START SAT EXT1 E100
B 801,BIT START SAT EXT1 E101
B 802,BIT START SAT EXT1 E102
B 803,BIT START SAT EXT1 E103
B 804,BIT START SAT EXT1 E104
B 805,BIT START SAT EXT1 E105
B 806,BIT START SAT EXT1 E106
B 807,BIT START SAT EXT1 E107
B 808,BIT START SAT EXT1 E108
B 809,
B 810,BIT START SAT EXT2 E110
B 811,BIT START SAT EXT2 E111
B 812,BIT START SAT EXT2 E112
B 813,BIT START SAT EXT2 E113
B 814,BIT START SAT EXT2 E114
B 815,BIT START SAT EXT2 E115
B 816,BIT START SAT EXT2 E116
B 817,BIT START SAT EXT2 E117
B 818,BIT START SAT EXT2 E118
B 819,
B 820,BIT START MAIN EXT1 E120
B 821,BIT START MAIN EXT1 E121
B 822,BIT START MAIN EXT1 E122
B 823,BIT START MAIN EXT1 E123
B 824,BIT START MAIN EXT1 E124
B 825,BIT START MAIN EXT1 E125
B 826,BIT START MAIN EXT1 E126
B 827,BIT START MAIN EXT1 E127
B 828,BIT START MAIN EXT1 E128
B 829,
B 830,BIT START MAIN EXT1 E130
B 831,BIT START MAIN EXT1 E131
B 832,BIT START MAIN EXT1 E132
B 833,BIT START MAIN EXT1 E133
B 834,BIT START BOILER E134
B 835,
B 836,
B 837,
B 838,
B 839,
B 840,BIT START MAIN EXT2 E140
B 841,BIT START MAIN EXT2 E141
B 842,BIT START MAIN EXT2 E142
B 843,BIT START MAIN EXT2 E143
B 844,BIT START MAIN EXT2 E144
B 845,BIT START MAIN EXT2 E145
B 846,BIT START MAIN EXT2 E146
B 847,BIT START MAIN EXT2 E147
B 848,BIT START MAIN EXT2 E148
B 849,BIT START MAIN EXT2 E149
B 850,BIT START MAIN EXT2 E150
B 851,BIT START MAIN EXT2 E151
B 852,
B 853,BIT START DIE HEATER ZONE 1 E153
B 854,BIT START DIE HEATER ZONE 2 E154
B 855,BIT START DIE HEATER ZONE 3 E155
B 856,BIT START DIE HEATER ZONE 4 E156
B 857,BIT START DIE HEATER ZONE 5 E157
B 858,BIT START DIE HEATER ZONE 6 E158
B 859,BIT START DIE HEATER ZONE 7 E159
B 860,
B 861,
B 862,BIT START VALVE SV SAT EXT1 R309
B 863,BIT START VALVE SV SAT EXT2 R310
B 864,BIT START VALVE SV SAT EXT2 R348
B 865,BIT START VALVE SV SAT EXT2 R349
B 866,FREE
B 867,FREE
B 868,FREE
B 869,FREE
B 870,FREE
B 871,FREE
B 872,FREE
B 873,FREE
B 874,FREE
B 875,FREE
B 876,FREE
B 877,FREE
B 878,FREE
B 879,FREE
B 880,FREE
B 881,FREE
B 882,FREE
B 883,FREE
B 884,FREE
B 885,FREE
B 886,FREE
B 887,FREE
B 888,FREE
B 889,FREE
B 890,FREE
B 891,FREE
B 892,FREE
B 893,FREE
B 894,FREE
B 895,FREE
B 896,FREE
B 897,FREE
B 898,FREE
B 899,FREE
B 900,FREE
B 901,FREE
B 902,FREE
B 903,FREE
B 904,FREE
B 905,FREE
B 906,FREE
B 907,FREE
B 908,FREE
B 909,FREE
B 910,FREE
B 911,FREE
B 912,FREE
B 913,FREE
B 914,FREE
B 915,FREE
B 916,FREE
B 917,FREE
B 918,FREE
B 919,FREE
B 920,FREE
B 921,FREE
B 922,FREE
B 923,FREE
B 924,FREE
B 925,FREE
B 926,FREE
B 927,FREE
B 928,FREE
B 929,FREE
B 930,PRI EXT IS NOT RUNNING 
B 931,SEC EXT IS NOT RUNNING 
B 932,SAT1 EXT IS NOT RUNNING
B 933,SAT2 EXT IS NOT RUNNING
B 934,FREE
B 935,FREE
B 936,FREE
B 937,FREE
B 938,FREE
B 939,FREE
B 940,FREE
B 941,FREE
B 942,FREE
B 943,FREE
B 944,FREE
B 945,FREE
B 946,FREE
B 947,FREE
B 948,FREE
B 949,FREE
B 950,FREE
